epoch       main/loss   main/accuracy  elapsed_time
1           4.10163     0.283333       1.58315
2           1.78709     0.292969       3.07179
3           1.77341     0.290737       4.41499
4           1.77176     0.289621       5.87049
5           1.77817     0.302455       7.20402
6           1.78259     0.294085       8.64287
7           1.77268     0.308036       10.0215
8           1.7822      0.295201       11.4151
9           1.77762     0.310268       12.8779
10          1.77231     0.299107       14.3178
11          1.77842     0.304688       15.7076
12          1.77945     0.292969       16.9644
13          1.76732     0.310268       18.9791
14          1.77811     0.297433       20.6969
15          1.77261     0.308036       22.2008
16          1.7754      0.299665       23.5679
17          1.7767      0.310417       25.0686
18          1.76945     0.302455       26.7892
19          1.77379     0.28404        28.9395
20          1.76713     0.308036       30.574
21          1.77955     0.307478       31.9976
22          1.76296     0.292411       33.4375
23          1.7765      0.300781       34.7374
24          1.77653     0.299107       36.0712
25          1.77459     0.304129       37.3896
26          1.77174     0.300223       38.6957
27          1.77225     0.294085       40.0045
28          1.77939     0.296317       41.4092
29          1.76435     0.315848       42.7703
30          1.77155     0.302455       44.1243
31          1.77237     0.294643       45.6185
32          1.7739      0.314732       46.9474
33          1.76773     0.31875        48.3744
34          1.76992     0.297433       49.7297
35          1.77661     0.30971        51.1369
36          1.76388     0.300781       52.5329
37          1.76891     0.304129       53.878
38          1.77765     0.30692        55.2172
39          1.77455     0.30971        56.6277
40          1.76774     0.303571       58.0138
41          1.77561     0.285156       59.3652
42          1.76803     0.305246       60.7304
43          1.77092     0.314732       62.0724
44          1.77289     0.308594       63.4358
45          1.77237     0.304129       64.7485
46          1.77124     0.307478       66.0535
47          1.76762     0.309152       67.3787
48          1.77439     0.296317       68.694
49          1.7718      0.282813       70.0724
50          1.77465     0.305804       71.4736
